"","date","store_id","log_of_cpi_adjusted_price"
"1","20160704",7088,5.39849894352375
"2","20160705",7088,5.39849894352375
"3","20160706",7088,5.39849894352375
"4","20160707",7088,5.39849894352375
"5","20160708",7088,5.39849894352375
"6","20160709",7088,5.39849894352375
"7","20160710",7088,5.39849894352375
"8","20160711",7088,5.39849894352375
"9","20160712",7088,5.39849894352375
"10","20160713",7088,5.39849894352375
"11","20160714",7088,5.39849894352375
"12","20160715",7088,5.39849894352375
"13","20160716",7088,5.39849894352375
"14","20160717",7088,5.39849894352375
"15","20160718",7088,5.39849894352375
"16","20160719",7088,5.39849894352375
"17","20160720",7088,5.39849894352375
"18","20160721",7088,5.39849894352375
"19","20160722",7088,5.39849894352375
"20","20160723",7088,5.39849894352375
"21","20160724",7088,5.39849894352375
"22","20160725",7088,5.39849894352375
"23","20160726",7088,5.39849894352375
"24","20160727",7088,5.39849894352375
"25","20160728",7088,5.39849894352375
"26","20160729",7088,5.39849894352375
"27","20160730",7088,5.39849894352375
"28","20160731",7088,5.39849894352375
"29","20160801",7088,5.39960459668246
"30","20160802",7088,5.39960459668246
"31","20160803",7088,5.39960459668246
"32","20160804",7088,5.39960459668246
"33","20160805",7088,5.39960459668246
"34","20160806",7088,5.39960459668246
"35","20160807",7088,5.39960459668246
"36","20160808",7088,5.39960459668246
"37","20160809",7088,5.39960459668246
"38","20160810",7088,5.39960459668246
"39","20160811",7088,5.39960459668246
"40","20160812",7088,5.39960459668246
"41","20160813",7088,5.39960459668246
"42","20160814",7088,5.39960459668246
"43","20160815",7088,5.39960459668246
"44","20160816",7088,5.39960459668246
"45","20160817",7088,5.39960459668246
"46","20160818",7088,5.39960459668246
"47","20160819",7088,5.39960459668246
"48","20160820",7088,5.39960459668246
"49","20160821",7088,5.39960459668246
"50","20160822",7088,5.39960459668246
"51","20160823",7088,5.39960459668246
"52","20160824",7088,5.39960459668246
"53","20160825",7088,5.39960459668246
"54","20160826",7088,5.39960459668246
"55","20160827",7088,5.39960459668246
"56","20160828",7088,5.39960459668246
"57","20160829",7088,5.39960459668246
"58","20160830",7088,5.39960459668246
"59","20160831",7088,5.39960459668246
"60","20160901",7088,5.39793079755808
"61","20160902",7088,5.39793079755808
"62","20160903",7088,5.39793079755808
"63","20160904",7088,5.39793079755808
"64","20160905",7088,5.39793079755808
"65","20160906",7088,5.39793079755808
"66","20160907",7088,5.39793079755808
"67","20160908",7088,5.39793079755808
"68","20160909",7088,5.39793079755808
"69","20160910",7088,5.39793079755808
"70","20160911",7088,5.39793079755808
"71","20160912",7088,5.39793079755808
"72","20160913",7088,5.39793079755808
"73","20160914",7088,5.39793079755808
"74","20160915",7088,5.39793079755808
"75","20160916",7088,5.39793079755808
"76","20160917",7088,5.39793079755808
"77","20160918",7088,5.39793079755808
"78","20160919",7088,5.39793079755808
"79","20160920",7088,5.39793079755808
"80","20160921",7088,5.39793079755808
"81","20160922",7088,5.39793079755808
"82","20160923",7088,5.39793079755808
"83","20160924",7088,5.39793079755808
"84","20160925",7088,5.39793079755808
"85","20160926",7088,5.39793079755808
"86","20160927",7088,5.39793079755808
"87","20160928",7088,5.39793079755808
"88","20160929",7088,5.39793079755808
"89","20160930",7088,5.39793079755808
"90","20161001",7088,5.39449723667271
"91","20161002",7088,5.39449723667271
"92","20161003",7088,5.39449723667271
"93","20161004",7088,5.39449723667271
"94","20161005",7088,5.39449723667271
"95","20161006",7088,5.39449723667271
"96","20161007",7088,5.39449723667271
